k,sexo,chave,l,m,s
1001185,1,1185,-0.3521,21.7588,0.09331
1001186,1,1186,-0.3521,21.7984,0.09338
1001187,1,1187,-0.3521,21.838,0.09344
1001188,1,1188,-0.3521,21.8776,0.0935
1001189,1,1189,-0.3521,21.9172,0.09356
1001190,1,1190,-0.3521,21.9568,0.09362
1001191,1,1191,-0.3521,21.9964,0.09368
1001192,1,1192,-0.3521,22.036,0.09375
1001193,1,1193,-0.3521,22.0757,0.09381
1001194,1,1194,-0.3521,22.1153,0.09387
1001195,1,1195,-0.3521,22.1549,0.09393
1001196,1,1196,-0.3521,22.1945,0.09399
1001197,1,1197,-0.3521,22.2341,0.09406
1001198,1,1198,-0.3521,22.2738,0.09412
1001199,1,1199,-0.3521,22.3134,0.09418
1001200,1,1200,-0.3521,22.353,0.09424
2000650,2,650,-0.3833,7.2402,0.09113
2000651,2,651,-0.3833,7.2627,0.09112
2000652,2,652,-0.3833,7.2852,0.09111
2000653,2,653,-0.3833,7.3076,0.0911
2000654,2,654,-0.3833,7.33,0.09109
2000655,2,655,-0.3833,7.3523,0.09109
2000656,2,656,-0.3833,7.3745,0.09108
2000657,2,657,-0.3833,7.3967,0.09107
2000658,2,658,-0.3833,7.4189,0.09106
2000659,2,659,-0.3833,7.441,0.09105
2000660,2,660,-0.3833,7.463,0.09104
2000661,2,661,-0.3833,7.485,0.09103
2000662,2,662,-0.3833,7.5069,0.09102
2000663,2,663,-0.3833,7.5288,0.09101
2000664,2,664,-0.3833,7.5507,0.091
2000665,2,665,-0.3833,7.5724,0.09099
2000666,2,666,-0.3833,7.5942,0.09098
2000667,2,667,-0.3833,7.6158,0.09097
2000668,2,668,-0.3833,7.6375,0.09096
2000669,2,669,-0.3833,7.659,0.09095
2000670,2,670,-0.3833,7.6806,0.09094
2000671,2,671,-0.3833,7.702,0.09093
2000672,2,672,-0.3833,7.7234,0.09091
